YY,MM,RR
1965,7,-1.3622641509
1965,7,3.9377358491
1965,7,-3.1622641509
1965,7,5.7377358491
1965,7,-1.6622641509
1965,7,5.9377358491
1965,7,-3.6622641509
1965,7,-0.6622641509
1965,7,0.1377358491
1965,7,30.8377358491
1965,7,13.3377358491
1965,8,22.3377358491
1965,8,65.1377358491
1965,8,7.1377358491
1965,8,33.4377358491
1965,8,6.7377358491
1965,8,-3.6622641509
1965,8,-3.1622641509
1965,8,-3.9622641509
1965,8,-3.9622641509
1965,8,0.1377358491
1965,8,-0.3622641509
1965,8,10.5377358491
1965,8,33.6377358491
1965,8,0.0377358491
1965,8,0.4377358491
1965,8,-2.9622641509
1965,8,-1.1622641509
1965,8,-2.4622641509
1965,8,-1.6622641509
1965,8,-1.3622641509
1965,8,17.1377358491
1965,8,4.9377358491
1965,8,29.5377358491
1965,8,4.4377358491
1965,8,4.2377358491
1965,8,-3.9622641509
1965,8,17.8377358491
1965,8,1.4377358491
1965,8,-3.3622641509
1965,8,14.6377358491
1965,8,6.7377358491
1965,9,-3.6622641509
1965,9,15.9377358491
1965,9,-2.1622641509
1965,9,9.7377358491
1965,9,2.7377358491
1965,9,0.8377358491
1965,9,24.7377358491
1965,9,-1.9622641509
1965,9,17.3377358491
1965,9,0.0377358491
1965,9,73.1377358491
1965,9,11.3377358491
1965,9,-2.8622641509
1965,9,-3.6622641509
1965,9,3.6377358491
1965,9,-3.9622641509
1965,9,-3.9622641509
1965,9,39.4377358491
1965,9,11.0377358491
1965,9,43.3377358491
1965,9,7.2377358491
1965,9,-3.6622641509
1965,9,8.7377358491
1965,9,3.4377358491
1965,9,-3.9622641509
1965,9,-3.9622641509
1965,9,13.5377358491
1965,9,1.1377358491
1965,9,-3.9622641509
1965,9,-3.6622641509
1966,5,-3.9622641509
1966,5,-3.9622641509
1966,5,-1.0622641509
1966,5,4.2377358491
1966,5,-3.9622641509
1966,5,14.5377358491
1966,5,5.4377358491
1966,5,5.9377358491
1966,5,1.4377358491
1966,5,33.0377358491
1966,5,-3.4622641509
1966,5,-2.9622641509
1966,5,3.1377358491
1966,5,-3.1622641509
1966,5,8.2377358491
1966,5,4.9377358491
1966,5,-3.1622641509
1966,5,5.4377358491
1966,5,282.8377358491
1966,5,220.3377358491
1966,5,17.6377358491
1966,5,0.4377358491
1966,5,30.1377358491
1966,5,7.7377358491
1966,5,0.8377358491
1966,5,19.8377358491
1966,5,9.9377358491
1966,5,-0.1622641509
1966,5,-3.1622641509
1966,5,-1.6622641509
1966,5,-3.9622641509
1966,6,-3.9622641509
1966,6,-3.9622641509
1966,6,-3.9622641509
1966,6,-3.9622641509
1966,6,-1.9622641509
1966,6,4.9377358491
1966,6,-3.4622641509
1966,6,-2.1622641509
1966,6,-3.9622641509
1966,6,-0.6622641509
1966,6,29.1377358491
1966,6,-1.9622641509
1966,6,-3.6622641509
1966,6,-0.8622641509
1966,6,3.7377358491
1966,6,-3.9622641509
1966,6,4.9377358491
1966,6,51.4377358491
1966,6,-3.6622641509
1966,6,7.0377358491
1966,6,4.1377358491
1966,6,17.3377358491
1966,6,-3.9622641509
1966,6,-1.6622641509
1966,6,2.6377358491
1966,6,20.2377358491
1966,6,-3.1622641509
1966,6,4.1377358491
1966,6,17.7377358491
1966,6,6.4377358491
1966,7,-3.9622641509
1966,7,-3.9622641509
1966,7,-0.9622641509
1966,7,1.1377358491
1966,7,12.5377358491
1966,7,1.3377358491
1966,7,16.9377358491
1966,7,18.4377358491
1966,7,-3.6622641509
1966,7,-2.6622641509
1966,7,73.7377358491
1966,7,13.0377358491
1966,7,0.3377358491
1966,7,-2.6622641509
1966,7,3.1377358491
1966,7,-2.1622641509
1966,7,-3.9622641509
1966,7,-3.9622641509
1966,7,16.9377358491
1966,7,-0.8622641509
1966,7,-3.4622641509
1966,7,-1.6622641509
1966,7,2.2377358491
1966,7,31.8377358491
1966,7,-3.9622641509
1966,7,-2.6622641509
1966,7,19.6377358491
1966,7,63.8377358491
1966,7,12.8377358491
1966,7,6.4377358491
1966,7,-2.3622641509
1966,8,-3.9622641509
1966,8,-3.9622641509
1966,8,27.0377358491
1966,8,22.9377358491
1966,8,-1.6622641509
1966,8,0.4377358491
1966,8,7.2377358491
1966,8,42.5377358491
1966,8,2.7377358491
1966,8,15.1377358491
1966,8,-0.1622641509
1966,8,28.8377358491
1966,8,39.7377358491
1966,8,34.9377358491
1966,8,154.5377358491
1966,8,13.6377358491
1966,8,-3.9622641509
1966,8,-3.9622641509
1966,8,-3.9622641509
1966,8,-3.1622641509
1966,8,32.9377358491
1966,8,42.2377358491
1966,8,5.6377358491
1966,8,2.6377358491
1966,8,23.2377358491
1966,8,5.1377358491
1966,8,7.9377358491
1966,8,-1.1622641509
1966,8,-1.8622641509
1966,8,-1.8622641509
1966,8,-0.8622641509
1966,9,0.1377358491
1966,9,4.7377358491
1966,9,29.9377358491
1966,9,28.5377358491
1966,9,129.9377358491
1966,9,265.3377358491
1966,9,24.2377358491
1966,9,56.5377358491
1966,9,49.1377358491
1966,9,26.2377358491
1966,9,44.8377358491
1966,9,34.8377358491
1966,9,50.3377358491
1966,9,21.2377358491
1966,9,38.3377358491
1966,9,15.8377358491
1966,9,1.8377358491
1966,9,-3.9622641509
1966,9,-3.9622641509
1966,9,-3.6622641509
1966,9,-3.9622641509
1966,9,-3.9622641509
1966,9,-3.6622641509
1966,9,-3.9622641509
1966,9,4.4377358491
1966,9,-3.3622641509
1966,9,1.6377358491
1966,9,11.7377358491
1966,9,32.4377358491
1966,9,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-2.4622641509
1967,5,-2.4622641509
1967,5,10.5377358491
1967,5,11.8377358491
1967,5,-0.8622641509
1967,5,7.2377358491
1967,5,-3.9622641509
1967,5,15.3377358491
